animal_id,strain,genotype,sex,birth_date,weight_g
A001,C57BL/6J,WT,M,2025-02-02,25
A002,C57BL/6J,KO,M,2025-03-03,19
A003,C57BL/6J,WT,F,2025-01-04,26
A004,C57BL/6J,KO,M,2025-02-05,20
A005,C57BL/6J,WT,M,2025-03-06,27
A006,C57BL/6J,KO,F,2025-01-07,21
A007,C57BL/6J,WT,M,2025-02-08,28
A008,C57BL/6J,KO,M,2025-03-09,22
A009,C57BL/6J,WT,F,2025-01-10,29
A010,C57BL/6J,KO,M,2025-02-11,23
A011,C57BL/6J,WT,M,2025-03-12,30
A012,C57BL/6J,KO,F,2025-01-13,24
A013,NA,WT,M,2025-02-14,18
A014,C57BL/6J,KO,M,2025-03-15,25
A015,C57BL/6J,WT,F,2025-01-16,19
A016,C57BL/6J,KO,M,2025-02-17,26
A017,C57BL/6J,WT,M,2025-03-18,20
A018,C57BL/6J,KO,F,2025-01-19,27
A019,C57BL/6J,WT,M,2025-02-20,21
A020,C57BL/6J,KO,M,2025-03-21,28
A021,C57BL/6J,WT,F,2025-01-22,22
A022,C57BL/6J,KO,M,2025-02-23,29
A023,C57BL/6J,WT,M,2025-03-24,23
A024,C57BL/6J,KO,F,2025-01-25,30
A025,C57BL/6J,WT,M,2025-02-26,24
A026,C57BL/6J,KO,M,2025-03-27,18
A027,NA,WT,F,2025-01-01,25
A028,C57BL/6J,KO,M,2025-02-02,19
A029,C57BL/6J,WT,M,2025-03-03,26
A030,C57BL/6J,KO,F,2025-01-04,20
A031,C57BL/6J,WT,M,2025-02-05,27
A032,C57BL/6J,KO,M,2025-03-06,21
A033,C57BL/6J,WT,F,2025-01-07,28
A034,C57BL/6J,KO,M,2025-02-08,22
A035,C57BL/6J,WT,M,2025-03-09,29
A036,C57BL/6J,KO,F,2025-01-10,23
A037,C57BL/6J,WT,,2025-02-11,30
A038,C57BL/6J,KO,,2025-03-12,24
A039,C57BL/6J,WT,,2025-01-13,18
A040,C57BL/6J,KO,,2025-02-14,25
A041,NA,WT,,2025-03-15,19
A042,C57BL/6J,KO,,2025-01-16,26
A043,C57BL/6J,WT,,2025-02-17,20
A044,C57BL/6J,KO,,2025-03-18,27
A045,C57BL/6J,WT,,2025-01-19,21
A046,C57BL/6J,KO,,2025-02-20,28
A047,C57BL/6J,WT,,2025-03-21,22
A048,C57BL/6J,KO,,2025-01-22,29
