observation_id,animal_id,session,timepoint_days,latency_s,errors
OBS0001,A001,1,7,12.75,2
OBS0002,A001,2,14,13.00,3
OBS0003,A001,3,21,13.25,0
OBS0004,A002,1,7,13.00,3
OBS0005,A002,2,14,13.50,0
OBS0006,A002,3,21,14.00,1
OBS0007,A003,1,7,13.25,0
OBS0008,A003,2,14,14.00,1
OBS0009,A003,3,21,14.75,2
OBS0010,A004,1,7,13.50,1
OBS0011,A004,2,14,14.50,2
OBS0012,A004,3,21,15.50,3
OBS0013,A005,1,7,13.75,2
OBS0014,A005,2,14,15.00,3
OBS0015,A005,3,21,16.25,0
OBS0016,A006,1,7,14.00,3
OBS0017,A006,2,14,,0
OBS0018,A006,3,21,17.00,1
OBS0019,A007,1,7,14.25,0
OBS0020,A007,2,14,16.00,1
OBS0021,A007,3,21,17.75,2
OBS0022,A008,1,7,14.50,1
OBS0023,A008,2,14,16.50,2
OBS0024,A008,3,21,18.50,3
OBS0025,A009,1,7,14.75,2
OBS0026,A009,2,14,17.00,3
OBS0027,A009,3,21,19.25,0
OBS0028,A010,1,7,15.00,3
OBS0029,A010,2,14,17.50,0
OBS0030,A010,3,21,20.00,1
OBS0031,A011,1,7,15.25,0
OBS0032,A011,2,14,18.00,1
OBS0033,A011,3,21,20.75,2
OBS0034,A012,1,7,,1
OBS0035,A012,2,14,18.50,2
OBS0036,A012,3,21,21.50,3
OBS0037,A013,1,7,15.75,2
OBS0038,A013,2,14,19.00,3
OBS0039,A013,3,21,22.25,0
OBS0040,A014,1,7,16.00,3
OBS0041,A014,2,14,19.50,0
OBS0042,A014,3,21,13.00,1
OBS0043,A015,1,7,16.25,0
OBS0044,A015,2,14,20.00,1
OBS0045,A015,3,21,13.75,2
OBS0046,A016,1,7,16.50,1
OBS0047,A016,2,14,20.50,2
OBS0048,A016,3,21,14.50,3
OBS0049,A017,1,7,16.75,2
OBS0050,A017,2,14,21.00,3
OBS0051,A017,3,21,,0
OBS0052,A018,1,7,17.00,3
OBS0053,A018,2,14,21.50,0
OBS0054,A018,3,21,16.00,1
OBS0055,A019,1,7,17.25,0
OBS0056,A019,2,14,22.00,1
OBS0057,A019,3,21,16.75,2
OBS0058,A020,1,7,17.50,1
OBS0059,A020,2,14,12.50,2
OBS0060,A020,3,21,17.50,3
OBS0061,A021,1,7,17.75,2
OBS0062,A021,2,14,13.00,3
OBS0063,A021,3,21,18.25,0
OBS0064,A022,1,7,18.00,3
OBS0065,A022,2,14,13.50,0
OBS0066,A022,3,21,19.00,1
OBS0067,A023,1,7,18.25,0
OBS0068,A023,2,14,,1
OBS0069,A023,3,21,19.75,2
OBS0070,A024,1,7,18.50,1
OBS0071,A024,2,14,14.50,2
OBS0072,A024,3,21,20.50,3
OBS0073,A025,1,7,18.75,2
OBS0074,A025,2,14,15.00,3
OBS0075,A025,3,21,21.25,0
OBS0076,A026,1,7,19.00,3
OBS0077,A026,2,14,15.50,0
OBS0078,A026,3,21,22.00,1
OBS0079,A027,1,7,19.25,0
OBS0080,A027,2,14,16.00,1
OBS0081,A027,3,21,12.75,2
OBS0082,A028,1,7,19.50,1
OBS0083,A028,2,14,16.50,2
OBS0084,A028,3,21,13.50,3
OBS0085,A029,1,7,,2
OBS0086,A029,2,14,17.00,3
OBS0087,A029,3,21,14.25,0
OBS0088,A030,1,7,20.00,3
OBS0089,A030,2,14,17.50,0
OBS0090,A030,3,21,15.00,1
OBS0091,A031,1,7,20.25,0
OBS0092,A031,2,14,18.00,1
OBS0093,A031,3,21,15.75,2
OBS0094,A032,1,7,20.50,1
OBS0095,A032,2,14,18.50,2
OBS0096,A032,3,21,16.50,3
OBS0097,A033,1,7,20.75,2
OBS0098,A033,2,14,19.00,3
OBS0099,A033,3,21,17.25,0
OBS0100,A034,1,7,21.00,3
OBS0101,A034,2,14,19.50,0
OBS0102,A034,3,21,,1
OBS0103,A035,1,7,21.25,0
OBS0104,A035,2,14,20.00,1
OBS0105,A035,3,21,18.75,2
OBS0106,A036,1,7,21.50,1
OBS0107,A036,2,14,20.50,2
OBS0108,A036,3,21,19.50,3
OBS0109,A037,1,7,21.75,2
OBS0110,A037,2,14,21.00,3
OBS0111,A037,3,21,20.25,0
OBS0112,A038,1,7,22.00,3
OBS0113,A038,2,14,21.50,0
OBS0114,A038,3,21,21.00,1
OBS0115,A039,1,7,22.25,0
OBS0116,A039,2,14,22.00,1
OBS0117,A039,3,21,21.75,2
OBS0118,A040,1,7,12.50,1
OBS0119,A040,2,14,,2
OBS0120,A040,3,21,12.50,3
OBS0121,A041,1,7,12.75,2
OBS0122,A041,2,14,13.00,3
OBS0123,A041,3,21,13.25,0
OBS0124,A042,1,7,13.00,3
OBS0125,A042,2,14,13.50,0
OBS0126,A042,3,21,14.00,1
OBS0127,A043,1,7,13.25,0
OBS0128,A043,2,14,14.00,1
OBS0129,A043,3,21,14.75,2
OBS0130,A044,1,7,13.50,1
OBS0131,A044,2,14,14.50,2
OBS0132,A044,3,21,15.50,3
OBS0133,A045,1,7,13.75,2
OBS0134,A045,2,14,15.00,3
OBS0135,A045,3,21,16.25,0
OBS0136,A046,1,7,,3
OBS0137,A046,2,14,15.50,0
OBS0138,A046,3,21,17.00,1
OBS0139,A047,1,7,14.25,0
OBS0140,A047,2,14,16.00,1
OBS0141,A047,3,21,17.75,2
OBS0142,A048,1,7,14.50,1
OBS0143,A048,2,14,16.50,2
OBS0144,A048,3,21,18.50,3
